"Access audit log","Erisim denetim kayitlari"
"Lead pipeline","Lead sureci"
"Master Data","Ana Veriler"
"Net premium must be greater than zero after deductions.","Net prim kesintilerden sonra sifirdan buyuk olmalidir."
"Net premium must be greater than zero for policy conversion.","Police donusumu icin net prim sifirdan buyuk olmalidir."
"Notification content templates","Bildirim icerik sablonlari"
"Notification delivery queue","Bildirim gonderim kuyrugu"
"Offer board and conversion","Teklif panosu ve donusum"
"Offer converted to Policy successfully.","Teklif basariyla policeye donusturuldu."
"Offer has expired. Update Valid Until date before conversion.","Teklifin gecerlilik suresi dolmus. Donusumden once Gecerlilik Tarihi alanini guncelleyin."
"Offer is already converted to Policy.","Teklif zaten policeye donusturulmus."
"Offer is missing required fields: {0}","Teklifte zorunlu alanlar eksik: {0}"
"Offer is required.","Teklif zorunludur."
"Offer premium values are inconsistent. Update offer amounts before conversion.","Teklif prim tutarlari tutarsiz. Donusumden once teklif tutarlarini guncelleyin."
"Offer premium values are missing. Set net or gross premium before conversion.","Teklif prim tutarlari eksik. Donusumden once net veya brut prim girin."
"Offer status must be Sent or Accepted before conversion.","Donusum oncesinde teklif durumu Gonderildi veya Kabul Edildi olmalidir."
"Paid amount cannot be greater than approved amount.","Odenen tutar onaylanan tutardan buyuk olamaz."
"Payment amount must be greater than zero.","Odeme tutari sifirdan buyuk olmalidir."
"Payment customer must match claim customer.","Odeme musterisi hasar musterisi ile ayni olmalidir."
"Payment is marked as paid before due date.","Odeme vade tarihinden once odenmis olarak isaretlenmis."
"Payment policy must match claim policy.","Odeme policesi hasar policesi ile ayni olmalidir."
"Please enter a valid email address.","Lutfen gecerli bir e-posta adresi girin."
"Policy endorsement operations","Police zeyil operasyonlari"
"Policy end date cannot be earlier than start date.","Police bitis tarihi baslangic tarihinden once olamaz."
"Policy lifecycle management","Police yasam dongusu yonetimi"
"Policy not found.","Police bulunamadi."
"Policy number already exists: {0}","Police numarasi zaten mevcut: {0}"
"Premium collections and payouts","Prim tahsilatlari ve odemeler"
"Prepared outbound notifications","Hazirlanan giden bildirimler"
"Recipient is required.","Alici zorunludur."
"Reconciliation work items","Mutabakat is kalemleri"
"Renewal follow-up","Yenileme takibi"
"Sales Entity","Satis Birimi"
"Source Lead: {0}","Kaynak Lead: {0}"
"Start date cannot be later than end date.","Baslangic tarihi bitis tarihinden sonra olamaz."
"TCMB exchange rate is unavailable. Enter FX Rate manually.","TCMB kur bilgisi kullanilamiyor. Kur degerini manuel girin."
"Tax amount cannot be negative.","Vergi tutari negatif olamaz."
"Tax ID is required.","TC/VKN zorunludur."
"Tax ID must contain only digits and be 10 or 11 characters long.","TC/VKN sadece rakamlardan olusmali ve 10 veya 11 karakter uzunlugunda olmalidir."
"Unsupported endorsement fields: {0}","Desteklenmeyen zeyil alanlari: {0}"
"Valid until date cannot be earlier than offer date.","Gecerlilik tarihi teklif tarihinden once olamaz."
"You do not have permission to create customers.","Musteri olusturma yetkiniz yok."
"You do not have permission to create offers.","Teklif olusturma yetkiniz yok."
"Dashboard","Pano"
"Insurance Operations","Sigorta Operasyonlari"
"Customer & Communication","Musteri ve Iletisim"
"Finance & Control","Finans ve Kontrol"
"Leads","Leadler"
"Offers","Teklifler"
"Policies","Policeler"
"Claims","Hasarlar"
"Payments","Odemeler"
"Customers","Musteriler"
"Renewal Tasks","Yenileme Gorevleri"
"Notification Drafts","Bildirim Taslaklari"
"Notification Outbox","Giden Bildirimler"
"Notification Templates","Bildirim Sablonlari"
"Accounting Entries","Muhasebe Kayitlari"
"Reconciliation Items","Mutabakat Kalemleri"
"Insurance Companies","Sigorta Sirketleri"
"Branches","Branslar"
"Sales Entities","Satis Birimleri"
"Commission","Komisyon"
"Commission Amount","Komisyon Tutari"
"Convert Offer","Teklifi Donustur"
"Convert to Offer","Teklife Donustur"
"Convert to Policy","Policeye Donustur"
"Create","Olustur"
"Create Lead","Lead Olustur"
"Create Offer","Teklif Olustur"
"Create Policy","Police Olustur"
"Customer 360","Musteri 360"
"Duplicate Payment","Odemeyi Kopyala"
"Navigate","Yonlendir"
"Net Premium","Net Prim"
"New Claim","Yeni Hasar"
"New Customer","Yeni Musteri"
"New Endorsement","Yeni Zeyil"
"New Lead","Yeni Lead"
"New Offer","Yeni Teklif"
"New Payment","Yeni Odeme"
"New Policy","Yeni Police"
"New Renewal Task","Yeni Yenileme Gorevi"
"Offer created: {0}","Teklif olusturuldu: {0}"
"Open","Ac"
"Open Claim","Hasari Ac"
"Open claim form","Hasar formunu ac"
"Open Claims Board","Hasar Panosunu Ac"
"Open Customer","Musteriyi Ac"
"Open Customer 360","Musteri 360'i Ac"
"Open customer 360 page","Musteri 360 sayfasini ac"
"Open Dashboard","Panoyu Ac"
"Open Desk","Yonetim Ekranini Ac"
"Open Lead","Leadi Ac"
"Open lead form","Lead formunu ac"
"Open linked offer {0}","Bagli teklifi ac: {0}"
"Open linked policy {0}","Bagli policeyi ac: {0}"
"Open Offer","Teklifi Ac"
"Open Offer Board","Teklif Panosunu Ac"
"Open offer form","Teklif formunu ac"
"Open Offers","Teklifleri Ac"
"Open payment form","Odeme formunu ac"
"Open Payments Board","Odeme Panosunu Ac"
"Open Policy","Policeyi Ac"
"Open policy form","Police formunu ac"
"Open Policy Workbench","Police Yonetimini Ac"
"Open renewal task form","Yenileme gorevi formunu ac"
"Open Renewals Board","Yenileme Panosunu Ac"
"Open Renewals Dashboard","Yenileme Panosunu Ac"
"Open Sales Dashboard","Satis Panosunu Ac"
"Policy created: {0}","Police olusturuldu: {0}"
"Policy End Date","Police Bitis Tarihi"
"Policy Number (Optional)","Police Numarasi (Opsiyonel)"
"Policy Start Date","Police Baslangic Tarihi"
"Record","Kaydet"
"Record Claim Payout","Hasar Odemesi Kaydet"
"Related","Iliskili"
"Tax Amount","Vergi Tutari"
"View Snapshots","Snapshotlari Goruntule"
